valence,arousal,dominance
0.517,0.415,0.566
0.344,0.529,0.575
0.74,0.355,0.551
0.735,0.423,0.641
0.663,0.365,0.609
0.728,0.49,0.554
0.562,0.405,0.509
0.392,0.37,0.418
0.388,0.461,0.588
0.075,0.696,0.327
0.156,0.712,0.483
0.18,0.806,0.42
0.302,0.683,0.472
0.562,0.373,0.471
0.673,0.462,0.526
0.561,0.633,0.691
0.65,0.327,0.567
0.622,0.382,0.538
0.51,0.354,0.45
0.594,0.539,0.789
0.615,0.435,0.702
0.854,0.264,0.705
0.633,0.339,0.554
0.76,0.307,0.63
0.561,0.385,0.555
0.612,0.561,0.537
0.521,0.445,0.586
0.604,0.35,0.413
0.25,0.471,0.342
0.333,0.35,0.391
0.365,0.417,0.375
0.645,0.276,0.536
0.57,0.316,0.569
0.52,0.4,0.393
0.385,0.456,0.475
0.438,0.51,0.37
0.559,0.52,0.683
0.551,0.462,0.691
0.459,0.44,0.426
0.647,0.327,0.638
0.51,0.54,0.76
0.59,0.52,0.661
0.51,0.5,0.456
0.688,0.42,0.854
0.635,0.425,0.86
0.625,0.404,0.786
0.542,0.415,0.579
0.538,0.48,0.902
0.929,0.6,0.87
0.844,0.49,0.847
0.594,0.547,0.733
0.969,0.583,0.726
0.867,0.692,0.704
0.917,0.56,0.815
0.796,0.72,0.65
0.867,0.578,0.629
0.802,0.58,0.602
0.78,0.528,0.642
0.802,0.415,0.732
0.538,0.423,0.667
0.69,0.451,0.598
0.72,0.49,0.767
0.62,0.5,0.546
0.45,0.375,0.438
0.357,0.606,0.455
0.52,0.423,0.385
0.5,0.319,0.328
0.487,0.694,0.444
0.781,0.68,0.509
0.694,0.612,0.701
0.625,0.566,0.589
0.531,0.469,0.52
0.969,0.519,0.457
0.885,0.699,0.708
0.854,0.438,0.657
0.885,0.62,0.717
0.91,0.424,0.482
0.918,0.373,0.377
0.865,0.92,0.786
0.765,0.965,0.825
0.398,0.486,0.23
0.815,0.491,0.787
0.188,0.865,0.37
0.229,0.814,0.407
0.12,0.922,0.51
0.541,0.454,0.652
0.673,0.472,0.858
0.844,0.623,0.797
0.776,0.65,0.839
0.929,0.608,0.812
0.917,0.548,0.859
0.837,0.64,0.789
0.665,0.56,0.627
0.917,0.857,0.71
0.781,0.839,0.868
0.812,0.764,0.749
0.969,0.898,0.722
0.349,0.777,0.457
0.323,0.61,0.385
0.276,0.76,0.538
0.5,0.529,0.58
0.6,0.566,0.539
0.622,0.608,0.632
0.551,0.5,0.595
0.698,0.408,0.688
0.867,0.48,0.51
0.76,0.393,0.705
0.823,0.33,0.509
0.698,0.235,0.655
0.745,0.362,0.705
0.646,0.35,0.689
0.656,0.429,0.633
0.5,0.646,0.731
0.551,0.53,0.818
0.49,0.439,0.462
0.55,0.5,0.433
0.615,0.461,0.463
0.708,0.771,0.627
0.541,0.74,0.678
0.561,0.724,0.728
0.59,0.663,0.722
0.551,0.633,0.688
0.714,0.642,0.644
0.643,0.52,0.779
0.708,0.442,0.526
0.847,0.327,0.549
0.48,0.398,0.615
0.396,0.373,0.358
0.704,0.38,0.452
0.52,0.459,0.657
0.458,0.569,0.578
0.35,0.574,0.394
0.898,0.559,0.696
0.949,0.422,0.55
0.76,0.547,0.655
0.479,0.265,0.402
0.469,0.584,0.526
0.673,0.519,0.535
0.615,0.594,0.5
0.8,0.5,0.537
0.745,0.509,0.731
0.75,0.5,0.689
0.854,0.589,0.816
0.908,0.5,0.811
0.438,0.335,0.411
0.302,0.555,0.293
0.271,0.5,0.167
0.294,0.635,0.392
0.663,0.618,0.722
0.756,0.388,0.477
0.571,0.58,0.575
0.84,0.398,0.493
0.327,0.74,0.547
0.385,0.75,0.527
0.594,0.37,0.373
0.367,0.904,0.675
0.602,0.427,0.444
0.5,0.337,0.382
0.49,0.316,0.408
0.531,0.358,0.478
0.01,0.775,0.245
0.643,0.521,0.48
0.48,0.417,0.518
0.571,0.567,0.568
0.312,0.449,0.444
0.533,0.388,0.339
0.406,0.384,0.415
0.354,0.362,0.455
0.396,0.392,0.349
0.542,0.327,0.398
0.612,0.529,0.464
0.54,0.377,0.483
0.561,0.226,0.498
0.135,0.365,0.236
0.46,0.296,0.583
0.531,0.296,0.553
0.48,0.439,0.755
0.45,0.765,0.509
0.224,0.77,0.464
0.079,0.76,0.43
0.108,0.778,0.357
0.257,0.794,0.64
0.071,0.784,0.613
0.73,0.378,0.556
0.583,0.517,0.694
0.059,0.971,0.639
0.094,0.929,0.533
0.125,0.949,0.648
0.25,0.926,0.688
0.077,0.913,0.648
0.146,0.948,0.823
0.26,0.5,0.4
0.133,0.865,0.464
0.281,0.635,0.243
0.8,0.657,0.775
0.72,0.702,0.815
0.214,0.255,0.284
0.3,0.796,0.593
0.444,0.882,0.491
0.24,0.931,0.447
0.78,0.51,0.797
0.306,0.396,0.574
0.317,0.28,0.404
0.083,0.8,0.34
0.083,0.775,0.393
0.127,0.712,0.438
0.906,0.26,0.545
0.906,0.5,0.696
0.797,0.449,0.574
0.854,0.48,0.557
0.76,0.44,0.736
0.083,0.918,0.751
0.686,0.321,0.473
0.64,0.357,0.465
0.333,0.34,0.445
0.598,0.18,0.436
0.708,0.52,0.673
0.562,0.517,0.241
0.552,0.649,0.288
0.5,0.497,0.38
0.796,0.491,0.541
0.724,0.342,0.434
0.643,0.533,0.569
0.561,0.48,0.5
0.375,0.434,0.385
0.094,0.518,0.153
0.146,0.734,0.277
0.481,0.569,0.567
0.15,0.267,0.183
0.708,0.163,0.427
0.51,0.402,0.433
0.542,0.519,0.385
0.646,0.644,0.691
0.49,0.74,0.727
0.601,0.65,0.645
0.271,0.481,0.276
0.573,0.622,0.642
0.65,0.482,0.688
0.667,0.777,0.647
0.398,0.52,0.447
0.587,0.716,0.721
0.719,0.702,0.708
0.729,0.684,0.682
0.583,0.196,0.37
0.542,0.472,0.529
0.562,0.51,0.64
0.583,0.78,0.544
0.55,0.69,0.649
0.479,0.381,0.57
0.638,0.585,0.482
0.438,0.222,0.283
0.385,0.39,0.402
0.46,0.413,0.446
0.459,0.358,0.351
0.639,0.343,0.523
0.542,0.404,0.445
0.241,0.882,0.698
0.542,0.727,0.642
0.188,0.822,0.492
0.204,0.89,0.585
0.571,0.31,0.279
0.521,0.38,0.427
0.5,0.445,0.527
0.5,0.24,0.358
0.635,0.349,0.453
0.541,0.583,0.693
0.323,0.667,0.377
0.153,0.688,0.361
0.061,0.779,0.407
0.49,0.34,0.356
0.55,0.459,0.691
0.53,0.45,0.358
0.479,0.82,0.648
0.375,0.875,0.75
0.337,0.804,0.673
0.546,0.25,0.311
0.44,0.34,0.565
0.531,0.412,0.441
0.448,0.394,0.559
0.541,0.353,0.333
0.396,0.528,0.556
0.41,0.615,0.491
0.247,0.5,0.523
0.41,0.423,0.559
0.378,0.53,0.462
0.667,0.657,0.605
0.656,0.364,0.627
0.583,0.275,0.553
0.643,0.412,0.683
0.653,0.173,0.444
0.781,0.551,0.602
0.612,0.477,0.464
0.44,0.31,0.404
0.816,0.637,0.731
0.49,0.35,0.408
0.433,0.562,0.402
0.417,0.406,0.398
0.578,0.578,0.608
0.418,0.482,0.587
0.365,0.522,0.52
0.917,0.398,0.75
0.517,0.558,0.598
0.615,0.58,0.509
0.635,0.627,0.453
0.135,0.549,0.273
0.296,0.606,0.389
0.869,0.27,0.528
0.735,0.2,0.491
0.347,0.5,0.355
0.357,0.471,0.382
0.696,0.473,0.769
0.714,0.245,0.642
0.354,0.704,0.645
0.673,0.462,0.672
0.604,0.388,0.679
0.622,0.481,0.616
0.6,0.39,0.64
0.698,0.429,0.538
0.698,0.5,0.561
0.673,0.382,0.591
0.73,0.36,0.655
0.583,0.443,0.593
0.786,0.528,0.43
0.804,0.585,0.686
0.837,0.745,0.843
0.44,0.308,0.462
0.323,0.49,0.491
0.792,0.32,0.688
0.688,0.19,0.412
0.938,0.874,0.958
0.698,0.183,0.314
0.771,0.373,0.7
0.698,0.44,0.441
0.333,0.167,0.216
0.458,0.333,0.347
0.189,0.423,0.302
0.458,0.713,0.75
0.708,0.34,0.755
0.562,0.204,0.672
0.537,0.296,0.535
0.594,0.337,0.474
0.592,0.717,0.351
0.724,0.387,0.635
0.434,0.206,0.35
0.333,0.694,0.654
0.167,0.798,0.609
0.17,0.806,0.5
0.255,0.765,0.5
0.625,0.363,0.589
0.48,0.494,0.542
0.628,0.373,0.631
0.615,0.51,0.58
0.708,0.482,0.736
0.656,0.404,0.73
0.833,0.324,0.644
0.449,0.28,0.434
0.633,0.368,0.422
0.469,0.481,0.367
0.194,0.518,0.319
0.438,0.333,0.51
0.406,0.47,0.531
0.543,0.551,0.375
0.552,0.465,0.465
0.469,0.5,0.409
0.896,0.843,0.783
0.796,0.779,0.533
0.827,0.872,0.51
0.75,0.8,0.639
0.906,0.837,0.849
0.918,0.765,0.92
0.651,0.529,0.917
0.635,0.308,0.369
0.735,0.356,0.426
0.625,0.36,0.582
0.164,0.46,0.37
0.265,0.462,0.358
0.479,0.38,0.386
0.51,0.804,0.661
0.484,0.821,0.717
0.51,0.404,0.482
0.571,0.452,0.48
0.5,0.75,0.609
0.281,0.83,0.5
0.77,0.548,0.747
0.781,0.182,0.542
0.448,0.41,0.406
0.688,0.406,0.658
0.531,0.459,0.606
0.64,0.366,0.517
0.75,0.327,0.574
0.622,0.406,0.517
0.847,0.29,0.483
0.875,0.33,0.507
0.51,0.34,0.256
0.48,0.33,0.316
0.551,0.402,0.433
0.323,0.765,0.621
0.292,0.587,0.409
0.354,0.396,0.368
0.338,0.635,0.667
0.296,0.33,0.308
0.551,0.451,0.814
0.844,0.67,0.636
0.327,0.402,0.349
0.592,0.491,0.522
0.562,0.422,0.649
0.865,0.48,0.652
0.439,0.393,0.375
0.48,0.448,0.483
0.133,0.667,0.526
0.427,0.357,0.474
0.479,0.346,0.445
0.653,0.48,0.545
0.744,0.349,0.719
0.69,0.677,0.81
0.677,0.735,0.827
0.694,0.439,0.692
0.781,0.431,0.766
0.092,0.66,0.509
0.1,0.755,0.483
0.385,0.602,0.321
0.781,0.26,0.63
0.812,0.684,0.664
0.942,0.847,0.596
0.929,0.837,0.803
0.96,0.829,0.632
0.541,0.3,0.314
0.146,0.83,0.54
0.35,0.217,0.473
0.449,0.268,0.509
0.552,0.327,0.449
0.333,0.798,0.334
0.417,0.321,0.441
0.531,0.27,0.5
0.57,0.32,0.446
0.51,0.367,0.509
0.729,0.448,0.705
0.604,0.415,0.755
0.665,0.521,0.634
0.625,0.324,0.8
0.667,0.462,0.71
0.625,0.556,0.854
0.378,0.588,0.5
0.125,0.804,0.623
0.204,0.7,0.759
0.146,0.755,0.62
0.375,0.47,0.49
0.286,0.49,0.519
0.562,0.442,0.546
0.562,0.39,0.571
0.592,0.388,0.594
0.64,0.481,0.75
0.708,0.519,0.717
0.52,0.284,0.564
0.5,0.325,0.639
0.42,0.217,0.439
0.449,0.442,0.278
0.255,0.523,0.527
0.663,0.436,0.5
0.583,0.529,0.5
0.188,0.327,0.31
0.167,0.279,0.155
0.552,0.538,0.327
0.365,0.216,0.394
0.419,0.224,0.526
0.35,0.264,0.482
0.115,0.69,0.536
0.771,0.358,0.385
0.906,0.158,0.704
0.927,0.298,0.668
0.167,0.865,0.657
0.01,0.86,0.547
0.26,0.632,0.482
0.23,0.63,0.464
0.347,0.52,0.465
0.378,0.536,0.52
0.541,0.33,0.455
0.625,0.408,0.5
0.529,0.425,0.405
0.094,0.892,0.43
0.122,0.83,0.604
0.265,0.644,0.471
0.167,0.888,0.333
0.153,0.792,0.265
0.135,0.72,0.307
0.449,0.281,0.444
0.456,0.365,0.355
0.521,0.51,0.513
0.827,0.755,0.635
0.823,0.676,0.538
0.888,0.75,0.549
0.51,0.724,0.545
0.698,0.676,0.466
0.5,0.274,0.234
0.41,0.276,0.302
0.427,0.61,0.424
0.594,0.35,0.458
0.342,0.5,0.555
0.584,0.35,0.392
0.115,0.918,0.681
0.08,0.76,0.324
0.041,0.8,0.591
0.88,0.77,0.723
0.592,0.469,0.441
0.604,0.47,0.619
0.694,0.618,0.611
0.729,0.491,0.482
0.602,0.57,0.732
0.094,0.765,0.286
0.167,0.718,0.342
0.104,0.783,0.345
0.26,0.573,0.352
0.082,0.853,0.348
0.146,0.778,0.435
0.552,0.236,0.5
0.521,0.304,0.527
0.25,0.448,0.364
0.31,0.385,0.412
0.153,0.375,0.447
0.458,0.38,0.376
0.5,0.368,0.579
0.653,0.35,0.547
0.281,0.48,0.423
0.188,0.538,0.404
0.479,0.354,0.298
0.469,0.255,0.43
0.396,0.291,0.431
0.16,0.618,0.245
0.537,0.373,0.661
0.708,0.481,0.75
0.684,0.5,0.607
0.448,0.216,0.216
0.224,0.618,0.524
0.24,0.615,0.7
0.296,0.604,0.565
0.143,0.663,0.629
0.448,0.32,0.417
0.427,0.551,0.566
0.542,0.51,0.5
0.521,0.327,0.358
0.51,0.245,0.362
0.78,0.343,0.729
0.327,0.578,0.377
0.338,0.406,0.537
0.188,0.73,0.5
0.367,0.39,0.49
0.551,0.385,0.725
0.49,0.367,0.582
0.365,0.412,0.384
0.33,0.622,0.629
0.51,0.373,0.658
0.448,0.406,0.557
0.082,0.837,0.544
0.622,0.469,0.667
0.698,0.539,0.711
0.653,0.551,0.682
0.448,0.74,0.236
0.541,0.49,0.629
0.408,0.412,0.441
0.43,0.714,0.658
0.378,0.398,0.49
0.198,0.549,0.393
0.5,0.233,0.426
0.42,0.392,0.236
0.634,0.29,0.518
0.54,0.37,0.595
0.385,0.333,0.556
0.438,0.37,0.623
0.146,0.686,0.391
0.396,0.412,0.536
0.271,0.509,0.358
0.459,0.47,0.549
0.448,0.47,0.5
0.449,0.558,0.417
0.347,0.644,0.35
0.38,0.51,0.604
0.146,0.865,0.342
0.15,0.925,0.446
0.281,0.875,0.434
0.235,0.814,0.282
0.625,0.461,0.436
0.448,0.51,0.542
0.436,0.54,0.438
0.536,0.5,0.536
0.687,0.469,0.5
0.719,0.393,0.58
0.704,0.337,0.443
0.188,0.292,0.333
0.184,0.212,0.204
0.548,0.389,0.336
0.612,0.45,0.667
0.57,0.433,0.418
0.388,0.473,0.407
0.75,0.846,0.667
0.439,0.259,0.383
0.5,0.509,0.582
0.05,0.867,0.736
0.173,0.88,0.75
0.479,0.461,0.571
0.406,0.429,0.526
0.551,0.378,0.389
0.571,0.346,0.402
0.388,0.52,0.517
0.342,0.5,0.528
0.646,0.347,0.732
0.592,0.3,0.717
0.469,0.368,0.537
0.561,0.328,0.529
0.194,0.792,0.562
0.16,0.827,0.415
0.375,0.353,0.377
0.698,0.435,0.453
0.473,0.383,0.398
0.531,0.41,0.426
0.406,0.573,0.636
0.663,0.598,0.558
0.735,0.506,0.567
0.669,0.49,0.534
0.633,0.278,0.434
0.327,0.588,0.568
0.573,0.464,0.453
0.229,0.382,0.438
0.177,0.67,0.554
0.031,0.64,0.347
0.365,0.387,0.425
0.704,0.637,0.581
0.755,0.56,0.406
0.806,0.657,0.688
0.865,0.824,0.464
0.953,0.857,0.621
0.811,0.3,0.264
0.765,0.204,0.294
0.604,0.431,0.473
0.75,0.167,0.291
0.582,0.453,0.538
0.594,0.394,0.567
0.677,0.49,0.741
0.469,0.43,0.667
0.612,0.558,0.688
0.646,0.445,0.726
0.612,0.321,0.667
0.565,0.33,0.509
0.688,0.594,0.547
0.745,0.677,0.625
0.677,0.49,0.638
0.552,0.481,0.453
0.417,0.667,0.682
0.677,0.49,0.696
0.873,0.491,0.778
0.885,0.422,0.741
0.91,0.434,0.779
0.765,0.5,0.656
0.917,0.529,0.588
0.857,0.38,0.654
0.521,0.624,0.696
0.385,0.72,0.454
0.406,0.592,0.431
0.615,0.413,0.452
0.812,0.482,0.643
0.612,0.392,0.61
0.74,0.557,0.491
0.646,0.59,0.86
0.792,0.529,0.774
0.833,0.368,0.759
0.51,0.632,0.717
0.854,0.46,0.889
0.875,0.548,0.741
0.833,0.349,0.698
0.88,0.625,0.78
0.917,0.583,0.773
0.551,0.56,0.52
0.622,0.396,0.538
0.583,0.615,0.471
0.582,0.402,0.593
0.573,0.412,0.547
0.708,0.32,0.278
0.582,0.208,0.245
0.582,0.418,0.382
0.75,0.471,0.746
0.656,0.292,0.359
0.729,0.306,0.413
0.663,0.327,0.393
0.677,0.51,0.463
0.551,0.411,0.534
0.429,0.27,0.31
0.51,0.35,0.465
0.561,0.537,0.814
0.281,0.702,0.686
0.47,0.62,0.682
0.587,0.602,0.67
0.385,0.448,0.795
0.583,0.49,0.591
0.552,0.388,0.396
0.676,0.521,0.502
0.5,0.49,0.637
0.5,0.354,0.468
0.74,0.441,0.66
0.552,0.451,0.706
0.596,0.358,0.691
0.271,0.327,0.332
0.837,0.5,0.708
0.622,0.28,0.776
0.4,0.321,0.704
0.458,0.413,0.634
0.582,0.403,0.398
0.573,0.622,0.661
0.594,0.604,0.589
0.448,0.52,0.569
0.745,0.37,0.592
0.776,0.442,0.836
0.729,0.39,0.67
0.82,0.39,0.694
0.438,0.294,0.527
0.615,0.352,0.546
0.694,0.873,0.722
0.5,0.78,0.538
0.344,0.783,0.605
0.49,0.306,0.464
0.51,0.235,0.404
0.417,0.396,0.381
0.429,0.633,0.4
0.365,0.635,0.375
0.594,0.418,0.472
0.26,0.538,0.328
0.292,0.536,0.397
0.25,0.618,0.324
0.093,0.798,0.525
0.51,0.464,0.698
0.479,0.549,0.76
0.45,0.531,0.679
0.541,0.602,0.657
0.323,0.333,0.379
0.75,0.582,0.725
0.688,0.549,0.842
0.583,0.413,0.811
0.449,0.519,0.676
0.453,0.46,0.634
0.396,0.427,0.543
0.552,0.285,0.469
0.408,0.74,0.868
0.198,0.764,0.81
0.192,0.839,0.83
0.51,0.558,0.755
0.646,0.164,0.339
0.188,0.75,0.808
0.469,0.625,0.784
0.469,0.509,0.861
0.448,0.663,0.8
0.283,0.439,0.25
0.464,0.395,0.483
0.417,0.759,0.902
0.823,0.235,0.442
0.847,0.22,0.473
0.791,0.943,0.731
0.74,0.491,0.58
0.708,0.952,0.667
0.406,0.837,0.534
0.74,0.49,0.571
0.698,0.531,0.728
0.625,0.382,0.683
0.521,0.396,0.568
0.286,0.485,0.302
0.146,0.951,0.5
0.265,0.706,0.356
0.678,0.51,0.474
0.837,0.406,0.585
0.143,0.75,0.62
0.115,0.755,0.58
0.439,0.39,0.454
0.276,0.598,0.433
0.188,0.545,0.351
0.365,0.741,0.752
0.281,0.472,0.447
0.133,0.904,0.567
0.348,0.84,0.5
0.812,0.36,0.603
0.396,0.51,0.583
0.396,0.58,0.537
0.771,0.608,0.778
0.11,0.518,0.345
0.344,0.464,0.434
0.583,0.218,0.287
0.594,0.28,0.481
0.552,0.324,0.565
0.677,0.462,0.618
0.479,0.48,0.591
0.51,0.5,0.566
0.316,0.696,0.482
0.306,0.385,0.351
0.35,0.912,0.794
0.781,0.33,0.411
0.802,0.442,0.732
0.844,0.512,0.565
0.802,0.646,0.632
0.823,0.346,0.769
0.796,0.667,0.741
0.896,0.368,0.679
0.49,0.422,0.388
0.571,0.5,0.552
0.357,0.481,0.464
0.83,0.62,0.812
0.724,0.625,0.7
0.656,0.673,0.821
0.826,0.644,0.777
0.765,0.72,0.714
0.755,0.627,0.833
0.56,0.53,0.625
0.531,0.529,0.616
0.438,0.375,0.472
0.26,0.21,0.207
0.156,0.588,0.228
0.327,0.279,0.142
0.406,0.382,0.265
0.429,0.472,0.433
0.531,0.44,0.459
0.49,0.21,0.322
0.604,0.1,0.27
0.438,0.489,0.375
0.469,0.317,0.264
0.469,0.48,0.322
0.479,0.469,0.588
0.439,0.48,0.565
0.479,0.28,0.395
0.479,0.264,0.439
0.198,0.704,0.311
0.059,0.745,0.412
0.704,0.724,0.675
0.812,0.469,0.722
0.479,0.271,0.422
0.844,0.582,0.604
0.323,0.75,0.345
0.378,0.51,0.5
0.184,0.868,0.602
0.073,0.933,0.632
0.051,0.969,0.722
0.083,0.941,0.525
0.167,0.848,0.55
0.633,0.559,0.594
0.429,0.452,0.6
0.542,0.57,0.75
0.663,0.45,0.644
0.698,0.5,0.64
0.43,0.538,0.76
0.615,0.515,0.719
0.75,0.619,0.809
0.694,0.531,0.736
0.74,0.442,0.75
0.719,0.412,0.77
0.698,0.5,0.623
0.75,0.623,0.658
0.551,0.538,0.764
0.797,0.765,0.788
0.667,0.613,0.765
0.133,0.582,0.263
0.622,0.417,0.709
0.51,0.462,0.51
0.483,0.398,0.745
0.559,0.391,0.683
0.429,0.378,0.463
0.833,0.435,0.629
0.656,0.519,0.633
0.625,0.39,0.536
0.812,0.409,0.625
0.745,0.5,0.817
0.602,0.46,0.472
0.694,0.36,0.526
0.745,0.255,0.5
0.698,0.401,0.464
0.612,0.247,0.454
0.74,0.39,0.526
0.479,0.431,0.417
0.675,0.442,0.704
0.91,0.46,0.839
0.878,0.327,0.754
0.786,0.396,0.833
0.541,0.288,0.273
0.43,0.721,0.623
0.361,0.694,0.712
0.198,0.549,0.227
0.229,0.706,0.294
0.214,0.49,0.429
0.786,0.845,0.658
0.51,0.775,0.574
0.844,0.802,0.821
0.827,0.898,0.773
0.68,0.718,0.519
0.729,0.675,0.474
0.604,0.417,0.567
0.098,0.676,0.308
0.316,0.5,0.474
0.594,0.519,0.673
0.635,0.34,0.5
0.792,0.601,0.761
0.75,0.509,0.735
0.6,0.632,0.726
0.613,0.474,0.722
0.776,0.658,0.827
0.208,0.442,0.259
0.407,0.33,0.445
0.58,0.343,0.465
0.476,0.373,0.527
0.479,0.451,0.472
0.49,0.33,0.705
0.276,0.46,0.481
0.373,0.481,0.466
0.25,0.48,0.343
0.781,0.718,0.686
0.857,0.798,0.708
0.75,0.863,0.778
0.831,0.691,0.74
0.531,0.306,0.554
0.604,0.3,0.56
0.531,0.42,0.594
0.48,0.408,0.472
0.51,0.5,0.433
0.327,0.817,0.713
0.418,0.673,0.411
0.55,0.602,0.683
0.724,0.298,0.519
0.469,0.365,0.473
0.073,0.811,0.445
0.115,0.844,0.593
0.177,0.54,0.208
0.52,0.363,0.559
0.562,0.35,0.439
0.57,0.343,0.5
0.286,0.948,0.67
0.185,0.962,0.629
0.276,0.837,0.642
0.806,0.51,0.719
0.76,0.5,0.759
0.83,0.52,0.94
0.625,0.491,0.431
0.594,0.58,0.567
0.65,0.42,0.625
0.812,0.5,0.592
0.58,0.365,0.519
0.74,0.599,0.774
0.367,0.745,0.457
0.531,0.673,0.5
0.812,0.52,0.724
0.408,0.302,0.429
0.449,0.28,0.298
0.458,0.363,0.464
0.439,0.71,0.685
0.234,0.635,0.5
0.521,0.259,0.377
0.742,0.388,0.483
0.76,0.644,0.861
0.6,0.594,0.754
0.796,0.663,0.769
0.906,0.774,0.712
0.906,0.63,0.769
0.938,0.667,0.755
0.704,0.43,0.527
0.781,0.439,0.795
0.646,0.467,0.658
0.229,0.54,0.259
0.51,0.24,0.411
0.594,0.702,0.519
0.542,0.732,0.716
0.74,0.875,0.825
0.76,0.755,0.916
0.673,0.37,0.462
